,Regiao,26/2,27/2,28/2,29/2,1/3,2/3,3/3,4/3,5/3,6/3,7/3,8/3,9/3,10/3,11/3,12/3,13/3,14/3,15/3,16/3,17/3,18/3,19/3,20/3,21/3,22/3,23/3,24/3,25/3,26/3,27/3,28/3,29/3,30/3,31/3,1/4,2/4,3/4,4/4,5/4,6/4,7/4,8/4,9/4,10/4,11/4,12/4,13/4,14/4,15/4,16/4,17/4,18/4,19/4,20/4,21/4,22/4,23/4,24/4,25/4,26/4,27/4,28/4,29/4,30/4,1/5,2/5,3/5,4/5,5/5,6/5,7/5,8/5,9/5,10/5,11/5,12/5,13/5,14/5,15/5,16/5,17/5,18/5,19/5,20/5,21/5,22/5,23/5,24/5,25/5,26/5,27/5,28/5,29/5,30/5,31/5,1/6,2/6,3/6,4/6,5/6,6/6,7/6,8/6,9/6,10/6,11/6,12/6,13/6,image,poptotalregion
0,(CO),0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,5,9,11,18,32,41,61,112,138,161,179,217,221,275,318,360,399,435,470,504,532,594,675,708,734,783,842,903,955,1009,1067,1118,1188,1258,1321,1386,1472,1562,1627,1656,1742,1823,1928,1983,2123,2257,2375,2521,2689,2855,2988,3108,3247,3388,3597,4013,4278,4493,4656,4809,5090,5417,6010,6617,7139,7531,7918,8336,8886,9574,10277,10838,11467,11965,12609,13629,14603,15500,16838,17400,18525,19988,21240,22986,25059,27313,28567,29177,31405,33791,36109,37606,38658,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Central-West_Region_in_Brazil.svg/800px-Central-West_Region_in_Brazil.svg.png,(CO) População 16 297 074
1,(N),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,8,15,26,49,59,82,105,126,145,184,227,254,294,337,377,427,527,651,791,951,1222,1360,1505,1663,1898,2028,2416,2582,2876,3158,3416,3691,4109,4431,4907,5514,6144,6880,7600,8044,8745,9594,10772,11857,12774,14376,15662,17362,19475,21377,23207,25565,27195,28051,30900,34088,37431,40473,43466,45277,47319,51107,55580,60195,64790,69370,72736,75922,81231,86978,94085,100916,105264,107752,109245,115188,121461,128917,135112,140702,143851,147466,153938,160767,166042,171097,175875,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/North_Region_in_Brazil.svg/800px-North_Region_in_Brazil.svg.png,(N) População 18 430 980
2,(NE),0,0,0,0,0,0,0,0,0,1,2,3,3,3,3,5,6,6,7,7,30,35,90,134,168,231,308,354,390,457,539,624,720,790,875,1007,1180,1399,1642,1880,2167,2417,2825,3242,3528,3882,4246,4716,5213,5831,6508,7469,8507,9300,10088,10868,11969,13381,14665,16293,17531,19427,20665,22444,24518,26370,28612,30022,33598,35641,38231,42157,45724,49356,52700,55308,58316,61769,66569,72076,78069,81537,86130,94071,100416,106123,114533,119801,125882,129996,135623,141706,147692,156106,171216,179401,184447,194348,204535,215616,227088,235933,242592,249289,260669,272280,284127,292806,300568,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Northeast_Region_in_Brazil.svg/800px-Northeast_Region_in_Brazil.svg.png,(NE) População 57 071 654
3,(S),0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,10,12,16,18,19,23,42,71,90,154,179,210,270,313,392,463,514,568,593,672,765,833,978,1139,1213,1318,1428,1551,1728,1972,2048,2159,2197,2317,2403,2496,2602,2738,2816,2921,2991,3077,3191,3350,3445,3557,3751,4033,4711,4958,5080,5457,5526,5792,6026,6594,6867,7363,7650,7806,7954,8556,8741,9392,10298,10615,10797,11270,11644,13088,13893,15315,16042,16378,16765,17313,18132,20218,21000,22493,23056,23665,24742,25926,27362,28777,29927,30597,30846,32308,34044,35578,36254,37156,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/South_Region_in_Brazil.svg/800px-South_Region_in_Brazil.svg.png,(S) População 29 975 984
4,(SE),1,1,1,2,2,2,2,3,7,12,16,21,26,29,45,60,75,90,163,189,205,309,391,553,642,926,1135,1278,1404,1665,1952,2222,2342,2507,3406,4223,4988,5658,6295,6678,7046,8138,9487,10624,11678,12125,12799,13371,14128,16246,17224,19067,20466,21285,21836,23133,24062,25583,26908,29908,31077,33022,36068,38892,42443,45137,46728,48115,49481,52298,57321,60692,64756,68875,70342,72209,74727,78959,83516,88759,93853,95938,101583,106470,113609,120302,125975,131347,136748,140250,144446,151376,161640,171644,182629,187240,190565,201117,210854,220060,229735,238971,246151,250634,261183,271534,280972,291047,298257,https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Southeast_Region_in_Brazil.svg/800px-Southeast_Region_in_Brazil.svg.png,(SE) População 88 371 433
