image,poptotalregion
https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Central-West_Region_in_Brazil.svg/800px-Central-West_Region_in_Brazil.svg.png,(CO) População 16 297 074
https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/North_Region_in_Brazil.svg/800px-North_Region_in_Brazil.svg.png,(N) População 18 430 980
https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Northeast_Region_in_Brazil.svg/800px-Northeast_Region_in_Brazil.svg.png,(NE) População 57 071 654
https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/South_Region_in_Brazil.svg/800px-South_Region_in_Brazil.svg.png,(S) População 29 975 984
https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Southeast_Region_in_Brazil.svg/800px-Southeast_Region_in_Brazil.svg.png,(SE) População 88 371 433
