NM_UF_SIGLA,AR_MUN_2019
AC,164123.964
AL,27843.295000000006
AM,1559167.8889999997
AP,142470.762
BA,564760.4269999994
CE,148894.44099999988
DF,5760.783
ES,46074.44699999999
GO,340203.329
MA,329642.1819999999
MG,586521.1229999999
MS,357145.5340000001
MT,903207.0189999997
PA,1245870.7979999997
PB,56467.24199999998
PE,98067.88099999998
PI,251756.5149999999
PR,199298.97900000002
RJ,43750.427
RN,52809.60199999999
RO,237765.24000000002
RR,223644.527
RS,281707.1559999999
SC,95730.68399999998
SE,21925.423999999995
SP,248219.4810000002
TO,277466.7630000001
