,Estado,26/2,27/2,28/2,29/2,1/3,2/3,3/3,4/3,5/3,6/3,7/3,8/3,9/3,10/3,11/3,12/3,13/3,14/3,15/3,16/3,17/3,18/3,19/3,20/3,21/3,22/3,23/3,24/3,25/3,26/3,27/3,28/3,29/3,30/3,31/3,1/4,2/4,3/4,4/4,5/4,6/4,7/4,8/4,9/4,10/4,11/4,12/4,13/4,14/4,15/4,16/4,17/4,18/4,19/4,20/4,21/4,22/4,23/4,24/4,25/4,26/4,27/4,28/4,29/4,30/4,1/5,2/5,3/5,4/5,5/5,6/5,7/5,8/5,9/5,10/5,11/5,12/5,13/5,14/5,15/5,16/5,17/5,18/5,19/5,20/5,21/5,22/5,23/5,24/5,25/5,26/5,27/5,28/5,29/5,30/5,31/5,1/6,2/6,3/6,4/6,5/6,6/6,7/6,8/6,9/6,10/6,11/6,12/6,13/6,14/6,15/6,16/6,17/6,18/6,19/6,20/6,21/6,22/6,23/6,24/6,25/6,image
10,MG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,6.0,6.0,6.0,9.0,11.0,14.0,15.0,17.0,17.0,20.0,23.0,27.0,30.0,33.0,35.0,39.0,39.0,41.0,44.0,47.0,51.0,54.0,58.0,61.0,62.0,71.0,80.0,82.0,88.0,88.0,89.0,90.0,94.0,97.0,106.0,111.0,118.0,119.0,121.0,127.0,135.0,139.0,146.0,150.0,156.0,161.0,167.0,177.0,191.0,201.0,217.0,226.0,230.0,234.0,240.0,255.0,257.0,263.0,271.0,278.0,289.0,306.0,323.0,344.0,368.0,376.0,380.0,399.0,409.0,431.0,446.0,454.0,475.0,481.0,502.0,537.0,570.0,600.0,636.0,661.0,688.0,720.0,771.0,806.0,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Bandeira_de_Minas_Gerais.svg/1200px-Bandeira_de_Minas_Gerais.svg.png
11,MS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,7.0,7.0,7.0,7.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,11.0,11.0,12.0,13.0,14.0,14.0,15.0,15.0,16.0,16.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,18.0,18.0,18.0,19.0,20.0,20.0,20.0,20.0,20.0,21.0,21.0,21.0,22.0,22.0,24.0,25.0,28.0,28.0,31.0,33.0,36.0,36.0,39.0,40.0,43.0,45.0,47.0,55.0,56.0,61.0,https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/Bandeira_de_Mato_Grosso_do_Sul.svg/2000px-Bandeira_de_Mato_Grosso_do_Sul.svg.png
12,MT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,7.0,8.0,9.0,9.0,10.0,11.0,11.0,11.0,11.0,12.0,12.0,13.0,13.0,13.0,13.0,14.0,16.0,18.0,19.0,19.0,20.0,23.0,26.0,27.0,27.0,29.0,32.0,32.0,34.0,37.0,37.0,40.0,41.0,43.0,46.0,51.0,56.0,57.0,61.0,66.0,70.0,76.0,82.0,88.0,96.0,109.0,116.0,135.0,146.0,160.0,175.0,192.0,209.0,216.0,226.0,266.0,281.0,309.0,335.0,360.0,384.0,401.0,443.0,462.0,https://upload.wikimedia.org/wikipedia/commons/0/0b/Bandeira_de_Mato_Grosso.svg
13,PA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,5.0,6.0,7.0,9.0,10.0,13.0,15.0,19.0,21.0,24.0,26.0,33.0,34.0,35.0,38.0,43.0,53.0,75.0,86.0,100.0,114.0,129.0,137.0,208.0,235.0,273.0,309.0,330.0,369.0,392.0,410.0,515.0,578.0,652.0,708.0,864.0,946.0,1063.0,1145.0,1199.0,1239.0,1329.0,1519.0,1633.0,1852.0,1937.0,2001.0,2148.0,2372.0,2469.0,2545.0,2704.0,2827.0,2900.0,2923.0,2925.0,3040.0,3193.0,3416.0,3538.0,3612.0,3678.0,3772.0,3853.0,3927.0,4030.0,4132.0,4177.0,4191.0,4201.0,4291.0,4350.0,4395.0,4469.0,4519.0,4583.0,4605.0,4672.0,4726.0,4748.0,https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Bandeira_do_Par%C3%A1.svg/1200px-Bandeira_do_Par%C3%A1.svg.png
14,PB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,4.0,4.0,4.0,4.0,7.0,11.0,11.0,13.0,13.0,16.0,21.0,24.0,26.0,26.0,29.0,32.0,33.0,39.0,40.0,44.0,46.0,49.0,50.0,53.0,58.0,62.0,67.0,74.0,76.0,79.0,85.0,92.0,101.0,114.0,124.0,135.0,139.0,154.0,157.0,160.0,170.0,183.0,194.0,207.0,219.0,230.0,245.0,248.0,258.0,272.0,279.0,286.0,298.0,318.0,327.0,347.0,360.0,370.0,379.0,414.0,438.0,451.0,467.0,484.0,507.0,534.0,559.0,570.0,610.0,623.0,633.0,656.0,671.0,696.0,709.0,724.0,743.0,766.0,784.0,807.0,828.0,842.0,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/Bandeira_da_Para%C3%ADba.svg/800px-Bandeira_da_Para%C3%ADba.svg.png
15,PE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,5.0,5.0,6.0,6.0,8.0,9.0,10.0,14.0,21.0,30.0,34.0,46.0,56.0,65.0,72.0,85.0,102.0,115.0,143.0,160.0,186.0,205.0,216.0,234.0,260.0,282.0,312.0,352.0,381.0,415.0,450.0,508.0,538.0,565.0,603.0,628.0,652.0,691.0,749.0,803.0,845.0,927.0,972.0,1047.0,1087.0,1157.0,1224.0,1298.0,1381.0,1461.0,1516.0,1640.0,1741.0,1834.0,1925.0,2057.0,2144.0,2200.0,2248.0,2328.0,2468.0,2566.0,2669.0,2740.0,2807.0,2875.0,2933.0,3012.0,3134.0,3205.0,3270.0,3305.0,3350.0,3453.0,3531.0,3633.0,3694.0,3784.0,3855.0,3886.0,3959.0,4009.0,4057.0,4102.0,4148.0,4234.0,4252.0,4339.0,4425.0,4488.0,https://upload.wikimedia.org/wikipedia/commons/5/59/Bandeira_de_Pernambuco.svg
16,PI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,6.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,9.0,10.0,12.0,14.0,15.0,15.0,16.0,17.0,18.0,20.0,21.0,24.0,24.0,24.0,26.0,28.0,28.0,29.0,30.0,35.0,37.0,38.0,42.0,45.0,49.0,57.0,60.0,60.0,65.0,72.0,80.0,85.0,87.0,91.0,93.0,99.0,107.0,110.0,119.0,134.0,138.0,146.0,157.0,161.0,168.0,180.0,192.0,202.0,217.0,224.0,239.0,254.0,265.0,283.0,299.0,317.0,335.0,360.0,374.0,393.0,398.0,421.0,435.0,459.0,485.0,502.0,517.0,534.0,546.0,https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/Bandeira_do_Piau%C3%AD.svg/1200px-Bandeira_do_Piau%C3%AD.svg.png
17,PR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,6.0,9.0,11.0,15.0,17.0,22.0,25.0,26.0,30.0,31.0,36.0,38.0,41.0,42.0,46.0,48.0,51.0,51.0,57.0,60.0,64.0,69.0,72.0,75.0,77.0,82.0,83.0,89.0,90.0,93.0,94.0,99.0,101.0,104.0,106.0,107.0,109.0,111.0,113.0,117.0,119.0,120.0,123.0,124.0,127.0,129.0,137.0,141.0,146.0,150.0,153.0,156.0,159.0,162.0,169.0,173.0,181.0,182.0,190.0,199.0,205.0,215.0,227.0,232.0,237.0,243.0,253.0,275.0,280.0,294.0,312.0,326.0,334.0,364.0,386.0,406.0,419.0,428.0,451.0,469.0,498.0,521.0,539.0,https://upload.wikimedia.org/wikipedia/commons/9/93/Bandeira_do_Paran%C3%A1.svg
18,RJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,3.0,4.0,6.0,6.0,9.0,10.0,13.0,17.0,18.0,23.0,28.0,41.0,47.0,58.0,64.0,71.0,89.0,106.0,122.0,147.0,155.0,170.0,188.0,224.0,265.0,300.0,341.0,387.0,402.0,422.0,461.0,490.0,530.0,570.0,615.0,645.0,677.0,738.0,794.0,854.0,921.0,971.0,1019.0,1065.0,1123.0,1205.0,1394.0,1503.0,1653.0,1714.0,1770.0,1928.0,2050.0,2247.0,2438.0,2614.0,2715.0,2852.0,3079.0,3237.0,3412.0,3657.0,3905.0,3993.0,4105.0,4361.0,4605.0,4856.0,5079.0,5277.0,5344.0,5462.0,5686.0,6010.0,6327.0,6473.0,6639.0,6707.0,6781.0,6928.0,7138.0,7363.0,7417.0,7592.0,7672.0,7728.0,7967.0,8138.0,8412.0,8595.0,8824.0,8875.0,8933.0,9153.0,9295.0,9450.0,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Bandeira_do_estado_do_Rio_de_Janeiro.svg/1200px-Bandeira_do_estado_do_Rio_de_Janeiro.svg.png
19,RN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,4.0,5.0,7.0,7.0,8.0,11.0,11.0,11.0,13.0,15.0,17.0,18.0,19.0,20.0,23.0,24.0,25.0,27.0,28.0,29.0,34.0,38.0,40.0,44.0,45.0,48.0,53.0,56.0,56.0,59.0,61.0,62.0,68.0,72.0,76.0,81.0,87.0,88.0,92.0,93.0,105.0,117.0,122.0,136.0,139.0,146.0,160.0,170.0,178.0,181.0,184.0,200.0,209.0,220.0,242.0,254.0,268.0,305.0,305.0,323.0,341.0,367.0,378.0,387.0,410.0,424.0,431.0,459.0,487.0,496.0,514.0,533.0,534.0,553.0,585.0,585.0,655.0,693.0,697.0,697.0,730.0,750.0,807.0,858.0,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAARMAAAC3CAMAAAAGjUrGAAACN1BMVEX///8Amzr+3wAkmNwimEX/4gAAlyyl0a8AlzzEzBn/4QD/5QAAmTuCtymOuicim0b/8q7T0tL/87P/6AAclkba2dkikUMii0EigD0jHiDplSUkneQAoVQieTsik0MijkI2oEGtmBMibTcjGh8iczkifDzGrw4AACIAp1P//gD42QHozAaahxTUugzcwQkihT8jQyqtrbEjYjMjNycjJyIGAACobSPwmSXJgSTdjiVasThsujNCpT7/9wCFvTl1Zxi4oREAdj+NdhMARjAiVC98awAjQSqzsrKdnJwjSyyJh4fLxskjMiXMsw0ArEgALiphXTEZiMewcCTr5+QAbKViRSKSYCNSOiGJaRxYUxpXrzlouTOmxi6Gg0GdmEb//e3/987Z1hX+6XJ2bU5oYBtnbCM7Zi90hSh8eGyEfWGQfhdZWiB7fIjDxtRFQB9GUSQ0UipnZF02RSV9cC86azBVcywAYzs0NyFhSwAYGQ05MRKLhhw0XC54eSEzMDBHP0NfVlxsbHVTU18cEQBGOwC4tqxcZyWsqqXKvgA/Vkazqj6sp3pkdmq+uqGwqnJghGxRXFS4sgAjBhzMv1xWgjc9cE8ASxgAKwxbUEkbJzINM0sUT3LWz1YzKR2XkUIyQlAwX4BxhZYjKgt8UiIAKFDH1ntFIAAKGihOSRx5XkNiOwAAWYlahqsjOgojQmZySCM0HSIAHydIKyJHeTJ9nTCTmxlepTq62ypGZTbU5h8AVDr+5ET+7Y8gWkCGAAATbklEQVR4nO2cjV/T9rrAe2py72g2I6a0pfSFhDaEJE0xYClQaArlpcUyRF4uUKp1KK468AWZO8ic29Exj2cbuu1uCswzzjlyLnN4Np1z5/xx90laZDTF+3E7jIWb72ejIaT99Pf1eZ7f80vTGH6nk49hp9/AbxDdiRrdiRrdiRrdiRrdiRrdiRrdiRrdiRrdiRrdiRrdiRrdiRrdiRrdiRrdiRrdiRrdiRrdiRrdiRrdiRrdiRrdiRrdiRrdiRrdiRrdiRrdiRrdiRrdiRrdiRrdiRrdiRrdiRrdiRrdiZrtcfLyS78OL2/Lu98WJy+PFP06NG6LlO1x8gpq/DVA9+pOdCe6E92J7kR3ojsphO5Ezc9zYtKdqBBeWMpucIJhzxkfPUQ8b/zsLnUS5reWQrx2gNsiUEwC5mML/VH7TlA6PLbVsI2o74ChbStjtJHkfIWepHknRNuJIbLQsFEMw4iwwRBnYQNTWUNpIZHx0QnUl/+qmneC+U7GasZ9BaSQfNtrpzoMhiOnXr+Q4fNDycSSQqaNlHgjuevihDtNeb2xGXX2oL4zhme8kcmTxhlJHzkxO0aO0TSNba602nViUiwQk6IVx91nT2Rnl5+aQblz60oOkPmTD8qT9PmzJ2tmJ09Iko/bDU4wlBM4E4ai5LgFRxDEQpIYquxENwICZV/LKonT+UpYY4afFGNiNHY5OiSENweRJp2gLE9FbBFqnMZmzvvBCe6JSUZpnIp4I9QMu2GOLlacXFC1KFhGaBVFyumEH7EWSftOMEE04ziCI1Y31WLzIy4X4qd4ymx2wU7cTD0ruFgmFyf5SjhWOD1FOS2Ixer3iK2YZNK4E8wXsSBZnJSVQhC3C7FQZo/Hmt3pjiRyUrDXYNIZe8Pwk7aN5VAoOtiKdDHqUo7GXc4Tp2kUDsA4zTpBhdZoTgmO45QI4eJC4NGF4zkn1a1cLn3OdPJGgj73hvQs6Qg6QSSg/E5HLa7cq1imLxJQiQhSMGXTTnNOUG7lNOWRh4+bvZAr/mrc78arYRPxy5JAE5UZUto0QgizBDwQZAYeoAZzNMqzLSQ7gRG82YWsB8p0wsi+SYQlH2mUWC064XghfEIuqy4R6iNIsVbbrDUwH+OesxTlt9m81KW3yEs8n2lra5P/b2vJ8ABJSlJC+j09wZ+fmbrI+i574WB4HZufWqGFqdnrY7MtZBjlWC06IQTJ7HRbvGK7RF2mEBdO1dQ4cTxWW/H2lSvvXD1zJh7vlDnwUzo742fOnLl69eq77155+4uDb733h99XV0dFxOWNttdO8Nct4Lf9Mi+1cARUHK05gTIZmbpsE9v5FWxiQhStFvx8DKLEe7VE4dq1jq6SkuLi4pIOcPN+SUcx+Il3ZP9Y0nHtmvLXrq4rpRWlNZRYXVFaWrritSAup+dsjBR4XkBNmnOCzZzkpunrlzKXPRT0XO2xaHt1NBaLHQQPxV3vz82n02/ImyWdhmJDR/yDD2DJY+iULRUXX2uam7txTTnwYHtMjEXFGniJihpRLrW26PX2sESSPu3FCfumURgjxpxmqibqtECE+MWoGx4+k8f9R2Jemkt3FcNmZ7HhpnjgJTNz5YjBUNIpWyr5Y3pufj4NUkrib0Vh6qZgJneJNbWUH6TYqKgYywgEymrNCUqyKOsTcf8hCseVFlZE8KgXx23vgIg/Sem5qg/jXee6SuIQHpTbZrb6P/oY2raS4s54V+dc1dz8jS5wcuUQFFh4LvxwVR+yKtO4VTw/Gw7zCaPWnGSbNlwUZSFyY0Lh7SIuQpWtyCZH1fyfpp1WGHenocvGmKPTTLdo6JBz6SXnzQ/TTUpqdR2EqQom8qhstTrXvtmo6jGS9rHayx2jiaNwyi/39i6bBZRYb93CcdGPVx8AJwvp29QBW8zbCQ464ufeuXKI+ih+tVPOq6tW8aP4J7eJD2U/MSesp621FYfcLlj22JR+z0Zd5GmYjDXoBLuIW+WVjddl8zghXPzgBNIHoeLyhBK/eebqB1aqU64Zcb8V//gD0ftpl1xib9o8N6/EP+6QK8vV2nZPe3VtRWlFbYyiamOiDZz4xbMrkDkadIIm/EqkuzxTUUsUx93RilooKYholQtK100P/sHVDnm+LYl3U45o56dRyvqpUmKLD1z51OJRNq/UQGhYb8E8DDGGi7W1ohVx28TzLRKnRSfYrFIQcadHingsuNUZrSgVbZAItrdLwIOb8rYfiMsD7/rUZot0lHRR3R5vFOpLMTRzn3n8FKRYSUUMlpF4bWlpRQ3EGFVbG7Uh1ukxH8tqsY81GqezTqhpHzTnLm9M7rqqIZtsb8kR0CVCppTIPVpX/MDHsFlSfLNTfigphp8HvOfkebrroOiGlxChb3PCq1HtpTGvmQrTPG3S4nrHJNgUJxZq6LQcLdWnJyorFq/HIBf+W25Ru+Id70PjGj916hzweQ55+9SpuNLSdnWVdBysoeS1tAXBD1kRZ3XFYqYlc7E1Q2h0XSyZFSn4q9xJeBTPX0gt9dzomfQgeDssZe58c3d1ta+v77DCnmcov8L+1dW7d+/c+QImnBhlFZUlZLS2oqa9ncQITMh+jqo5Jxhpdcrx7mzl5DMGVM9oz8LC4o1JD46f7SvLsqdsQ0bedvaAvgfRWI3f6ZblRqOwwLa6rRTJZsNEg074aX817nYNTXMRGJK1fXFhdKlnAmomfrlvj4qyw1+qd+7pE10uG14ThaWf5xBsy3FnpV4Nc1p1MhQ5gYtWQSLlOLHUhHsWljJDMaSwk3slfy4r4EQ+8eIXoTeJtlfkTllaKInAtOpEukziP0QkgpiSu3vxfEVtZdtZuTQ8UDk5fMZgWC0UJ/JTcW9taU1pRYzKnrO0iJMTNKZJJ6hkHEu4x2cuYhgP86l1KhOo683QlMWMfHU4XwmsA48UCB7IHVxZ870JSqLu7GrHHY0mEto89yhb4SLjREZAuWkx6p58dSC4NhabNMeiKify0rgkf6fi5LLsxOXuXy6N2rKpY3VSk23Zjws16AR6FGpcvg6HmJ1omxqX+gMDY+zU7OnJ9zYPvOyeYSsnhx8o07llLTAo5s72e6PR2SFO0GTPpqwCx8cx5VONsSHj5EqgLpiZnWXDKxV5A78mOymYO4e/QlyIy2zr7e2/jJsR3GX1esTwihBmtRsnwphSDImVBE2MDQSXS3mC903c2TTDlN3Nfgh4r8C8s+c9j9fvjHoCweVJv4fyUk6Rqp4UwkRCs04gQrINp5QgCWmtNzBEoBLJ3908+txVBZ0FlJR9cTY2JT4Ug4H+se8unhdFqua0yIdRWpu9fS5Scg88y5KB+t4VQkB5sm+TE3nSUVhVB0rZNzUnyEPL/YHeQJgnyerTmesr9AQtEdrsTzaBSihKwsDeJIycr21zNe1bd1Lcp5JSttoSNg4N9gaDvW2CkAjT5FCixUcmOG2udzbDChi/HLQvEiYf8fs8J6+vX5HTpYqUsj6eJ8jlQP3AMo+BToHkJJ6lWY329psxsRgfqLcvokYWrdxcYvv6s0aOwH9fqrq5P3BYYjnQGwy0YUaTSeAwGiOJ3OUH2+XkP7aDgtf48QNB+7esEeX+sjkaDh+UbRiOBAe+7FP1KGWVRjRRUTcQDG5co8StX9WG7t2Wd2/4z+3gr2olRiwzsNx/C5wkvsnLkL91GLoG31ldrj9Vpi4ofxEwemDQHlgeK3DF5F+35d0btoX9BZ0E7XWDHJTbvKpR9vnbR+4P1r1+7291vflKoMjSGL1WvxwMrhS49Hzf9rz9baGgk7ag3b7GmTB+c8NaVnbvvfurX/797/+zGrCfyp1r2qCPJ+iKut7e4ESBONG8kzA4WfahWMvh9bNsyonGr7/++vPP//zuu6WldwcDa/eAVeWM5J7sqba+NgJyp753eXBXOqm32wcSKNYmn2z95s6Xh7568OCzz6jr4fCFC+GVocXFwdoL/yVz0jM19dmDBzVf3PlmdXX1EiHnTsBeWqBua97J2HJv/QCNYmNRj83vQrLXb61D+WPRWDWOm83mjZ2Iy2qjJgj627reoL1iFzohhoL19gCJYmG/cp1BeWNjYwiBtW72YjVZUXnjK680joRCIQQxyygXsQ1CnCzX2wcfFnhNzTtZsdvroRvFwjY5HJCGcry8obFxBMkOPtRQjgyHYLt8eBhUyHZCOFKOWPoJGnq2gbqHBb7VpHknE/WBgTVw0hJBhsFFyJyLhlCDrMJcPtIo70LM5Q3l5tAw5BAcVY5YoZ4M1gUG6r4t8N0f7Tux2+3BDIaR0xAmeDYz4OfIyPAIKBrJ7lGkNDY2KHZgD+5sketJsD74sMD3BTXv5E17vR06dDTRmjuLiJhDIGNYCRY8GzNZLeuPsrVpCebiNagna4K6yGreySI4qR/CjOz9nJOci2d+oIQ0lJeXZ38PlWcj6R+w6lvuDQzY+1Vf89K+E3SwDoosdOjEkD8rZXgYz0VECCqKLAFqCxRYBLYahodHGmD+sfYTaLaerNG7z4mpdKDXbocOHaUhefDssOXUkYMEJqCQ+VnWlI80lGcTCW+lUVSuJ/Zg/y50wg4Ge5cXa2FgxKAfpuHsbJMrIs9KiWLl2S+4d5AAhwP99fWDA9JudGIPBoOLJvnEdWUuIuQZeKRhOLReUbPTUPl6DcYtlTABo/RyMLBct7wrnUA9qfvWKH/vQrqvtK/4cMNwuRlZL6sI0tAASaM0bYoSd6UPM6EE3V8XCNQFdp8TlL21NhCsW/tufCZhIqRK5apO83pErMcJni0qihGcuiUQGEeOnxyEejLwUFKfQNG2EywxXj5Ojq0tf4czDi9NcP2venH8J0rwEL7RlchGvP8IswQ3bmW6pwcC9d/O2r4nVYGiaSeYVP5ob8NeIlEpJOaHGccMQfjCla3rWspxvGG4AWabdSGu6fuXIEh8NoZJktLA8uLexubH+MxucoLS3z9KOpgIkyZpQiIaGIf8jVpjIny/1a9Yyc1CWSGI59VFniNQEwdKmnhCGpwoN0O8+H6Xfw8ILTthH5tZB3P5BkjhUIyvCjFW+SuQGPRjlyqns439eojYWitbBEK+Yg27yDiezgmYVNltGR11MMlHzXl1VsNOUDJpKXIw36dui0w6zQpzTQxzkWDTDDOcJlj+4Y8WfN0Idf8SjWHN3UwzmpYcjidNPFYkmP1Lt8cZpmG+e/N3aTXtRGp0px1Msy+1UM1gyTTf9MThkJ40O5JJJoliqLT4ozwDgZHKFsgZ1tFcFGKKIHMaqsh0UXpvZGkhIz9/npnjdo+TZjcbYszNQs/C6ONkuoisamT8XDqEmdINJsghjKz0QNZUtrAYJEdRM4oWNWMQGU1pqaiR+2FhlE9bGQf2PUMk0F3j5InjEfZoNGPiRhduz3DJ+fmmbsbGJpU/shyaxthLrdODHJGG3+Q6akpiMw7HU4JvRsmlhRRJ0EtTaZ9jeBc5IZsYxyNjZmHUZ8rcGE3x6YRcUvwQFSjmi1g/4Z6kCb7FiCXZGZt/Bvai6ONsMXm8NHp7VGAzt1Ncwux4ouHcOZbvhHjiYNzfQxJkBN/s7YUU30ZCpFgf+3y0rbuB8UtGnzBuI4XvHKFhx4zgm/+EYZ5wYxAjC0skS0LK2SwOJlSV17bt3+mBvgB5ToxGvuoVB8Mw4oWFG0s0zadSN1JL8zC7TFsdzVVE07Bjeg5mIcrMPCWanjLmiEh5xmcgQm4skQl+aeH2m2aGcXQ3zW1OHeOxnR7oC3A0T4mJI6ueDjscjkg4tTCamuHD4SXQciE1BR1IRpqR9lqJJujpRopOTP9IQAAtpBYWbqRmwy2gL3V76Qd4aneyKp1/O6ajOz3QFyH/cweU49NNQNV8mJ9N3V6AAFi60NOztEQxT8Nz83xlWxqcnFiprJ4l57vdF5Z6enpGl1JQkVNLmRZeeSpB0vkfj+70MF+I4/nJY8R88o0ISInDMFaQeH4GAqAnlbrueAoD/+6JlEn7x/mnltEbo3PdkVTqwlIKwomXEvLxkvxMUjLmrwGP7/QwXwhVQYH8QRXYonRyb5F8NwsMZVn2E6YJiYSe8iyaYKFNgf4s8rTZ6mNZ5Q5lWDqZLEqns89Unz45ttPDfDHUTtZJN7LgpQgtMhaljcZId9NTaEPQ7BWSmDTX9KQp6aBRNskWwXFwyN6iLe8DudODfEH2bemEZdPppPzvPwxK0ItMU1V6Y7mLJearmhoj8q1iGpNwDEhJF7rTo4KWuhOFrQPFmE0IBlICQoB8vKl0ohxJznBYEaRONywCipJFW7/OTg/xhSlQUTakQFYkmXSyGwacXyjksmMyst3N6WZYQ5vSW991VUsNW47jz5HCwmAZRyj9nDvGNjscSZRNb32AtiadHFvWgSyFJpKfYJLD5Xlad3p4P4ujL34z5RdAUy3sBvkdvq5E5p/bZITVrpLnF9qfjybL6wbPm5J/Lsd2elC/mK072p+H5rrXguz/95WVf+4OIzJH9x3/5T5Mx/dpubQW4uixY/v37yvE/g1hbMED9u3ff+zYbvPxf3E0l127JzP+HfxLVnJsp9/Fb4zjuhI1xn/t9Dv47aErUfP/bV7R0dHR0dHR0dHR0dHR0dHR0dHR0dHR0dHR0dHR0dHR0dHR0dHR0dHR+eX8L7mpup3V/ZgpAAAAAElFTkSuQmCC"
20,RO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,4.0,5.0,5.0,5.0,7.0,10.0,10.0,11.0,15.0,16.0,18.0,23.0,24.0,25.0,29.0,33.0,37.0,39.0,41.0,43.0,47.0,50.0,50.0,56.0,62.0,69.0,74.0,77.0,87.0,90.0,101.0,106.0,115.0,121.0,121.0,133.0,137.0,142.0,145.0,151.0,156.0,159.0,172.0,180.0,194.0,213.0,228.0,235.0,245.0,255.0,267.0,293.0,296.0,309.0,324.0,332.0,346.0,360.0,374.0,391.0,409.0,417.0,431.0,444.0,455.0,467.0,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Bandeira_de_Rond%C3%B4nia.svg/1200px-Bandeira_de_Rond%C3%B4nia.svg.png
