,Regiao,26/2,27/2,28/2,29/2,1/3,2/3,3/3,4/3,5/3,6/3,7/3,8/3,9/3,10/3,11/3,12/3,13/3,14/3,15/3,16/3,17/3,18/3,19/3,20/3,21/3,22/3,23/3,24/3,25/3,26/3,27/3,28/3,29/3,30/3,31/3,1/4,2/4,3/4,4/4,5/4,6/4,7/4,8/4,9/4,10/4,11/4,12/4,13/4,14/4,15/4,16/4,17/4,18/4,19/4,20/4,21/4,22/4,23/4,24/4,25/4,26/4,27/4,28/4,29/4,30/4,1/5,2/5,3/5,4/5,5/5,6/5,7/5,8/5,9/5,10/5,11/5,12/5,13/5,14/5,15/5,16/5,17/5,18/5,19/5,20/5,21/5,22/5,23/5,24/5,25/5,26/5,27/5,28/5,29/5,30/5,31/5,1/6,2/6,3/6,4/6,5/6,6/6,7/6,8/6,9/6,10/6,11/6,12/6,13/6,14/6,15/6,16/6,17/6,18/6,19/6,20/6,21/6,22/6,23/6,24/6,25/6,26/6,27/6,28/6,29/6,30/6,1/7,2/7,3/7,image,poptotalregion
0,(CO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,5,5,6,9,11,12,17,20,22,24,26,29,33,38,40,40,46,46,52,52,54,55,58,62,65,67,68,72,75,75,79,79,82,85,86,94,101,102,111,113,118,123,129,142,152,162,167,171,184,193,204,220,237,244,256,268,288,305,326,347,360,375,384,418,442,462,478,497,517,525,573,614,648,679,721,755,794,856,919,963,1026,1077,1131,1191,1260,1357,1416,1486,1561,1618,1653,1730,1842,1941,2045,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Central-West_Region_in_Brazil.svg/800px-Central-West_Region_in_Brazil.svg.png,(CO) População 16 297 074
1,(N),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,4,4,5,9,16,19,26,33,42,54,68,73,87,99,123,143,169,193,216,241,249,260,281,323,369,415,452,490,543,589,712,796,872,963,1033,1149,1287,1373,1557,1716,1844,1944,2190,2352,2570,2762,2886,2987,3125,3404,3608,3921,4081,4241,4418,4683,4898,5036,5300,5503,5636,5690,5736,5915,6135,6442,6628,6777,6883,7030,7213,7385,7583,7743,7853,7922,7978,8150,8281,8386,8522,8640,8742,8813,8932,9044,9129,9221,9311,9344,9412,9526,9631,9764,9864,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/North_Region_in_Brazil.svg/800px-North_Region_in_Brazil.svg.png,(N) População 18 430 980
2,(NE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,7,10,13,17,22,27,43,51,59,78,92,103,141,173,194,219,246,287,326,377,412,479,533,579,626,681,741,832,921,1002,1079,1200,1311,1429,1536,1643,1844,1918,2051,2244,2408,2553,2774,2981,3167,3337,3568,3818,4004,4223,4521,4673,4989,5285,5537,5977,6284,6515,6726,7040,7338,7692,7986,8337,8648,8866,9228,9641,10066,10534,10819,11104,11301,11654,12134,12561,12998,13367,13648,13889,14232,14553,14956,15320,15638,15913,16163,16467,16849,17248,17593,17959,18324,18566,18923,19278,19585,19978,20409,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Northeast_Region_in_Brazil.svg/800px-Northeast_Region_in_Brazil.svg.png,(NE) População 57 071 654
3,(S),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,5,5,7,9,9,11,14,17,26,28,34,41,51,57,62,70,71,80,85,89,94,101,104,113,113,121,128,137,145,149,160,166,176,180,195,204,210,220,233,247,257,260,266,271,285,297,301,317,325,336,349,356,371,392,405,418,429,438,462,483,497,513,520,535,549,568,592,615,636,662,681,694,705,733,775,789,822,849,871,893,950,989,1034,1076,1095,1131,1183,1238,1300,1328,1402,1433,1470,1519,1604,1646,1731,1794,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/South_Region_in_Brazil.svg/800px-South_Region_in_Brazil.svg.png,(S) População 29 975 984
4,(SE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,6,11,18,25,34,46,54,67,78,97,115,132,161,195,234,276,329,351,390,477,554,639,711,741,787,833,963,1091,1208,1329,1445,1486,1533,1632,1705,1968,2178,2387,2457,2621,2922,3197,3394,3616,3748,3849,3931,4201,4492,4861,5195,5551,5723,5830,6216,6536,6950,7345,7723,7938,8138,8718,9118,9524,10028,10584,10828,11020,11505,12068,12629,13171,13655,13834,14021,14633,15290,15947,16439,16871,17060,17220,17753,18345,18901,19217,19649,19895,20062,20732,21365,22045,22692,23251,23450,23617,24366,24881,25505,25893,26441,26624,26807,27456,27928,28470,29062,https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Southeast_Region_in_Brazil.svg/800px-Southeast_Region_in_Brazil.svg.png,(SE) População 88 371 433
