,Estado,26/2,27/2,28/2,29/2,1/3,2/3,3/3,4/3,5/3,6/3,7/3,8/3,9/3,10/3,11/3,12/3,13/3,14/3,15/3,16/3,17/3,18/3,19/3,20/3,21/3,22/3,23/3,24/3,25/3,26/3,27/3,28/3,29/3,30/3,31/3,1/4,2/4,3/4,4/4,5/4,6/4,7/4,8/4,9/4,10/4,11/4,12/4,13/4,14/4,15/4,16/4,17/4,18/4,19/4,20/4,21/4,22/4,23/4,24/4,25/4,26/4,27/4,28/4,29/4,30/4,1/5,2/5,3/5,4/5,5/5,6/5,7/5,8/5,9/5,10/5,11/5,12/5,13/5,14/5,15/5,16/5,17/5,18/5,19/5,20/5,21/5,22/5,23/5,24/5,25/5,26/5,27/5,28/5,29/5,30/5,31/5,1/6,2/6,3/6,4/6,5/6,6/6,7/6,8/6,9/6,10/6,11/6,12/6,13/6,14/6,image
10,MG,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,5,7,15,29,35,38,83,128,130,133,153,189,205,231,261,275,314,370,397,430,498,525,559,614,655,698,750,806,815,884,903,958,1021,1077,1154,1189,1230,1283,1308,1419,1481,1548,1586,1649,1758,1827,1935,2023,2118,2347,2452,2605,2770,2943,3123,3237,3320,3435,3733,3950,4196,4474,4611,4695,4977,5286,5596,5995,6338,6668,6962,7516,8011,8686,9232,9630,10464,10670,10939,12010,13034,13995,14939,15703,15883,16102,17501,18448,20106,20614,21381,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Bandeira_de_Minas_Gerais.svg/1200px-Bandeira_de_Minas_Gerais.svg.png
11,MS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,7,7,9,16,21,21,23,24,25,28,31,36,44,48,51,53,60,62,65,66,80,85,89,97,100,101,113,115,121,131,143,161,168,171,173,175,186,213,217,234,238,240,249,255,261,266,272,274,283,288,311,326,346,362,385,405,430,452,479,508,570,613,642,693,746,805,858,924,1023,1100,1186,1262,1356,1418,1489,1568,1646,1802,1925,1997,2132,2253,2324,2455,2597,2853,3001,3235,3433,https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/Bandeira_de_Mato_Grosso_do_Sul.svg/2000px-Bandeira_de_Mato_Grosso_do_Sul.svg.png
12,MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,7,8,11,11,13,16,18,25,27,36,44,56,60,76,78,90,108,112,121,123,134,138,151,156,162,171,174,181,181,183,221,240,247,250,257,261,292,297,320,331,337,344,365,379,417,457,502,519,541,591,661,719,779,851,901,937,995,1054,1172,1220,1352,1462,1500,1628,1839,1951,2103,2361,2429,2541,2709,2848,3194,3481,3662,3878,4100,4339,4602,5092,5363,5524,5861,https://upload.wikimedia.org/wikipedia/commons/0/0b/Bandeira_de_Mato_Grosso.svg
13,PA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,4,5,5,7,13,13,17,18,21,32,40,46,50,80,86,102,138,167,168,170,217,246,270,323,384,438,557,640,685,902,1026,1195,1267,1446,1579,1867,2128,2262,2422,2876,3176,3460,3863,4125,4472,5017,5524,6141,6775,7256,7563,8616,9618,10867,12109,13184,13864,14734,16295,18135,19756,21469,22697,24125,26077,28600,31033,33699,36486,37296,37961,38046,41207,44774,48049,50960,53176,54271,56032,59148,62095,64126,66328,68510,69179,https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Bandeira_do_Par%C3%A1.svg/1200px-Bandeira_do_Par%C3%A1.svg.png
14,PB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,3,3,5,9,14,14,15,17,20,21,29,32,34,35,36,41,55,79,85,101,111,136,151,165,195,205,236,245,263,301,345,386,447,499,543,633,699,814,926,1034,1169,1219,1361,1493,1657,2031,2156,2341,2525,2777,3045,3361,3739,4063,4347,4786,5300,5838,6238,6882,7508,7823,8016,8919,10209,11132,12011,12862,13162,13695,14859,16018,17579,18579,19787,20310,20951,22452,24032,25370,26556,27454,28013,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/Bandeira_da_Para%C3%ADba.svg/800px-Bandeira_da_Para%C3%ADba.svg.png
15,PE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,16,16,28,30,30,37,42,42,46,48,56,68,73,78,87,95,106,136,176,201,223,352,401,555,684,816,960,1154,1284,1484,1683,2006,2193,2459,2690,2908,3298,3519,3999,4507,4898,5358,5724,6194,6876,7334,8145,8643,8863,9325,9881,10824,11587,12470,13275,13768,14309,14901,15588,16209,18488,19452,20094,21242,22560,23911,25760,26786,27759,28366,28854,29919,30713,32255,33427,34450,34900,35508,36463,37507,38511,39361,40242,40705,41010,41935,42994,43872,44671,45261,https://upload.wikimedia.org/wikipedia/commons/5/59/Bandeira_de_Pernambuco.svg
16,PI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,6,6,8,9,9,11,14,16,18,18,19,21,22,23,23,28,31,38,40,41,44,50,58,75,91,102,123,145,158,186,206,217,256,297,331,364,408,454,513,600,665,742,784,875,949,1051,1131,1233,1278,1332,1443,1612,1784,1905,2085,2252,2287,2440,2637,2852,3074,3258,3390,3550,3720,3966,4243,4503,4745,4931,5119,5506,5828,6064,6717,7105,7478,7621,7927,8359,8823,9337,9825,10153,https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/Bandeira_do_Piau%C3%AD.svg/1200px-Bandeira_do_Piau%C3%AD.svg.png
17,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,13,23,32,43,50,56,65,81,102,119,133,148,155,179,224,252,301,395,438,458,503,539,609,643,676,738,756,791,803,832,874,945,987,1007,1024,1063,1082,1119,1140,1156,1186,1271,1348,1407,1447,1492,1514,1562,1588,1627,1656,1711,1785,1835,1849,1906,1996,2063,2139,2242,2286,2360,2481,2616,2810,2939,3099,3212,3331,3512,3712,3984,4236,4473,4687,4835,5163,5494,5820,6348,6605,6897,7031,7314,7831,8457,8705,9233,9583,https://upload.wikimedia.org/wikipedia/commons/9/93/Bandeira_do_Paran%C3%A1.svg
18,RJ,0,0,0,0,0,0,0,0,1,1,2,3,8,8,13,16,16,22,24,31,33,45,65,109,119,186,233,305,370,421,493,558,600,657,708,832,992,1074,1246,1394,1461,1688,1938,2216,2464,2607,2855,3231,3410,3743,3944,4349,4543,4765,4899,5306,5552,6172,6282,6828,7111,7944,8504,8869,9453,10166,10546,11139,11721,12391,13295,14156,15741,16929,17062,17939,18486,18728,19467,19987,21601,22238,26665,27805,30372,32089,33589,34533,37912,39298,40024,42398,44886,47953,52420,53388,54530,56732,59240,60932,63066,64533,67756,69499,72979,74373,75775,77784,78836,79572,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Bandeira_do_estado_do_Rio_de_Janeiro.svg/1200px-Bandeira_do_estado_do_Rio_de_Janeiro.svg.png
19,RN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,6,9,13,13,14,19,28,45,68,77,82,92,105,176,212,242,246,254,261,261,263,289,302,339,376,399,400,463,516,531,595,608,646,708,754,781,825,832,857,1086,1177,1297,1366,1392,1421,1536,1574,1739,1821,1919,1928,1989,2033,2367,2537,2786,3004,3137,3184,3483,3796,4060,4251,4599,4697,4759,5472,5630,5630,6463,7402,8051,7964,8233,9149,9282,9440,9449,9452,10888,11027,11568,13234,13501,13789,14171,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAARMAAAC3CAMAAAAGjUrGAAACN1BMVEX///8Amzr+3wAkmNwimEX/4gAAlyyl0a8AlzzEzBn/4QD/5QAAmTuCtymOuicim0b/8q7T0tL/87P/6AAclkba2dkikUMii0EigD0jHiDplSUkneQAoVQieTsik0MijkI2oEGtmBMibTcjGh8iczkifDzGrw4AACIAp1P//gD42QHozAaahxTUugzcwQkihT8jQyqtrbEjYjMjNycjJyIGAACobSPwmSXJgSTdjiVasThsujNCpT7/9wCFvTl1Zxi4oREAdj+NdhMARjAiVC98awAjQSqzsrKdnJwjSyyJh4fLxskjMiXMsw0ArEgALiphXTEZiMewcCTr5+QAbKViRSKSYCNSOiGJaRxYUxpXrzlouTOmxi6Gg0GdmEb//e3/987Z1hX+6XJ2bU5oYBtnbCM7Zi90hSh8eGyEfWGQfhdZWiB7fIjDxtRFQB9GUSQ0UipnZF02RSV9cC86azBVcywAYzs0NyFhSwAYGQ05MRKLhhw0XC54eSEzMDBHP0NfVlxsbHVTU18cEQBGOwC4tqxcZyWsqqXKvgA/Vkazqj6sp3pkdmq+uqGwqnJghGxRXFS4sgAjBhzMv1xWgjc9cE8ASxgAKwxbUEkbJzINM0sUT3LWz1YzKR2XkUIyQlAwX4BxhZYjKgt8UiIAKFDH1ntFIAAKGihOSRx5XkNiOwAAWYlahqsjOgojQmZySCM0HSIAHydIKyJHeTJ9nTCTmxlepTq62ypGZTbU5h8AVDr+5ET+7Y8gWkCGAAATbklEQVR4nO2cjV/T9rrAe2py72g2I6a0pfSFhDaEJE0xYClQaArlpcUyRF4uUKp1KK468AWZO8ic29Exj2cbuu1uCswzzjlyLnN4Np1z5/xx90laZDTF+3E7jIWb72ejIaT99Pf1eZ7f80vTGH6nk49hp9/AbxDdiRrdiRrdiRrdiRrdiRrdiRrdiRrdiRrdiRrdiRrdiRrdiRrdiRrdiRrdiRrdiRrdiRrdiRrdiRrdiRrdiRrdiRrdiRrdiRrdiRrdiRrdiRrdiRrdiRrdiRrdiRrdiRrdiRrdiRrdiZrtcfLyS78OL2/Lu98WJy+PFP06NG6LlO1x8gpq/DVA9+pOdCe6E92J7kR3ojsphO5Ezc9zYtKdqBBeWMpucIJhzxkfPUQ8b/zsLnUS5reWQrx2gNsiUEwC5mML/VH7TlA6PLbVsI2o74ChbStjtJHkfIWepHknRNuJIbLQsFEMw4iwwRBnYQNTWUNpIZHx0QnUl/+qmneC+U7GasZ9BaSQfNtrpzoMhiOnXr+Q4fNDycSSQqaNlHgjuevihDtNeb2xGXX2oL4zhme8kcmTxhlJHzkxO0aO0TSNba602nViUiwQk6IVx91nT2Rnl5+aQblz60oOkPmTD8qT9PmzJ2tmJ09Iko/bDU4wlBM4E4ai5LgFRxDEQpIYquxENwICZV/LKonT+UpYY4afFGNiNHY5OiSENweRJp2gLE9FbBFqnMZmzvvBCe6JSUZpnIp4I9QMu2GOLlacXFC1KFhGaBVFyumEH7EWSftOMEE04ziCI1Y31WLzIy4X4qd4ymx2wU7cTD0ruFgmFyf5SjhWOD1FOS2Ixer3iK2YZNK4E8wXsSBZnJSVQhC3C7FQZo/Hmt3pjiRyUrDXYNIZe8Pwk7aN5VAoOtiKdDHqUo7GXc4Tp2kUDsA4zTpBhdZoTgmO45QI4eJC4NGF4zkn1a1cLn3OdPJGgj73hvQs6Qg6QSSg/E5HLa7cq1imLxJQiQhSMGXTTnNOUG7lNOWRh4+bvZAr/mrc78arYRPxy5JAE5UZUto0QgizBDwQZAYeoAZzNMqzLSQ7gRG82YWsB8p0wsi+SYQlH2mUWC064XghfEIuqy4R6iNIsVbbrDUwH+OesxTlt9m81KW3yEs8n2lra5P/b2vJ8ABJSlJC+j09wZ+fmbrI+i574WB4HZufWqGFqdnrY7MtZBjlWC06IQTJ7HRbvGK7RF2mEBdO1dQ4cTxWW/H2lSvvXD1zJh7vlDnwUzo742fOnLl69eq77155+4uDb733h99XV0dFxOWNttdO8Nct4Lf9Mi+1cARUHK05gTIZmbpsE9v5FWxiQhStFvx8DKLEe7VE4dq1jq6SkuLi4pIOcPN+SUcx+Il3ZP9Y0nHtmvLXrq4rpRWlNZRYXVFaWrritSAup+dsjBR4XkBNmnOCzZzkpunrlzKXPRT0XO2xaHt1NBaLHQQPxV3vz82n02/ImyWdhmJDR/yDD2DJY+iULRUXX2uam7txTTnwYHtMjEXFGniJihpRLrW26PX2sESSPu3FCfumURgjxpxmqibqtECE+MWoGx4+k8f9R2Jemkt3FcNmZ7HhpnjgJTNz5YjBUNIpWyr5Y3pufj4NUkrib0Vh6qZgJneJNbWUH6TYqKgYywgEymrNCUqyKOsTcf8hCseVFlZE8KgXx23vgIg/Sem5qg/jXee6SuIQHpTbZrb6P/oY2raS4s54V+dc1dz8jS5wcuUQFFh4LvxwVR+yKtO4VTw/Gw7zCaPWnGSbNlwUZSFyY0Lh7SIuQpWtyCZH1fyfpp1WGHenocvGmKPTTLdo6JBz6SXnzQ/TTUpqdR2EqQom8qhstTrXvtmo6jGS9rHayx2jiaNwyi/39i6bBZRYb93CcdGPVx8AJwvp29QBW8zbCQ464ufeuXKI+ih+tVPOq6tW8aP4J7eJD2U/MSesp621FYfcLlj22JR+z0Zd5GmYjDXoBLuIW+WVjddl8zghXPzgBNIHoeLyhBK/eebqB1aqU64Zcb8V//gD0ftpl1xib9o8N6/EP+6QK8vV2nZPe3VtRWlFbYyiamOiDZz4xbMrkDkadIIm/EqkuzxTUUsUx93RilooKYholQtK100P/sHVDnm+LYl3U45o56dRyvqpUmKLD1z51OJRNq/UQGhYb8E8DDGGi7W1ohVx28TzLRKnRSfYrFIQcadHingsuNUZrSgVbZAItrdLwIOb8rYfiMsD7/rUZot0lHRR3R5vFOpLMTRzn3n8FKRYSUUMlpF4bWlpRQ3EGFVbG7Uh1ukxH8tqsY81GqezTqhpHzTnLm9M7rqqIZtsb8kR0CVCppTIPVpX/MDHsFlSfLNTfigphp8HvOfkebrroOiGlxChb3PCq1HtpTGvmQrTPG3S4nrHJNgUJxZq6LQcLdWnJyorFq/HIBf+W25Ru+Id70PjGj916hzweQ55+9SpuNLSdnWVdBysoeS1tAXBD1kRZ3XFYqYlc7E1Q2h0XSyZFSn4q9xJeBTPX0gt9dzomfQgeDssZe58c3d1ta+v77DCnmcov8L+1dW7d+/c+QImnBhlFZUlZLS2oqa9ncQITMh+jqo5Jxhpdcrx7mzl5DMGVM9oz8LC4o1JD46f7SvLsqdsQ0bedvaAvgfRWI3f6ZblRqOwwLa6rRTJZsNEg074aX817nYNTXMRGJK1fXFhdKlnAmomfrlvj4qyw1+qd+7pE10uG14ThaWf5xBsy3FnpV4Nc1p1MhQ5gYtWQSLlOLHUhHsWljJDMaSwk3slfy4r4EQ+8eIXoTeJtlfkTllaKInAtOpEukziP0QkgpiSu3vxfEVtZdtZuTQ8UDk5fMZgWC0UJ/JTcW9taU1pRYzKnrO0iJMTNKZJJ6hkHEu4x2cuYhgP86l1KhOo683QlMWMfHU4XwmsA48UCB7IHVxZ870JSqLu7GrHHY0mEto89yhb4SLjREZAuWkx6p58dSC4NhabNMeiKify0rgkf6fi5LLsxOXuXy6N2rKpY3VSk23Zjws16AR6FGpcvg6HmJ1omxqX+gMDY+zU7OnJ9zYPvOyeYSsnhx8o07llLTAo5s72e6PR2SFO0GTPpqwCx8cx5VONsSHj5EqgLpiZnWXDKxV5A78mOymYO4e/QlyIy2zr7e2/jJsR3GX1esTwihBmtRsnwphSDImVBE2MDQSXS3mC903c2TTDlN3Nfgh4r8C8s+c9j9fvjHoCweVJv4fyUk6Rqp4UwkRCs04gQrINp5QgCWmtNzBEoBLJ3908+txVBZ0FlJR9cTY2JT4Ug4H+se8unhdFqua0yIdRWpu9fS5Scg88y5KB+t4VQkB5sm+TE3nSUVhVB0rZNzUnyEPL/YHeQJgnyerTmesr9AQtEdrsTzaBSihKwsDeJIycr21zNe1bd1Lcp5JSttoSNg4N9gaDvW2CkAjT5FCixUcmOG2udzbDChi/HLQvEiYf8fs8J6+vX5HTpYqUsj6eJ8jlQP3AMo+BToHkJJ6lWY329psxsRgfqLcvokYWrdxcYvv6s0aOwH9fqrq5P3BYYjnQGwy0YUaTSeAwGiOJ3OUH2+XkP7aDgtf48QNB+7esEeX+sjkaDh+UbRiOBAe+7FP1KGWVRjRRUTcQDG5co8StX9WG7t2Wd2/4z+3gr2olRiwzsNx/C5wkvsnLkL91GLoG31ldrj9Vpi4ofxEwemDQHlgeK3DF5F+35d0btoX9BZ0E7XWDHJTbvKpR9vnbR+4P1r1+7291vflKoMjSGL1WvxwMrhS49Hzf9rz9baGgk7ag3b7GmTB+c8NaVnbvvfurX/797/+zGrCfyp1r2qCPJ+iKut7e4ESBONG8kzA4WfahWMvh9bNsyonGr7/++vPP//zuu6WldwcDa/eAVeWM5J7sqba+NgJyp753eXBXOqm32wcSKNYmn2z95s6Xh7568OCzz6jr4fCFC+GVocXFwdoL/yVz0jM19dmDBzVf3PlmdXX1EiHnTsBeWqBua97J2HJv/QCNYmNRj83vQrLXb61D+WPRWDWOm83mjZ2Iy2qjJgj627reoL1iFzohhoL19gCJYmG/cp1BeWNjYwiBtW72YjVZUXnjK680joRCIQQxyygXsQ1CnCzX2wcfFnhNzTtZsdvroRvFwjY5HJCGcry8obFxBMkOPtRQjgyHYLt8eBhUyHZCOFKOWPoJGnq2gbqHBb7VpHknE/WBgTVw0hJBhsFFyJyLhlCDrMJcPtIo70LM5Q3l5tAw5BAcVY5YoZ4M1gUG6r4t8N0f7Tux2+3BDIaR0xAmeDYz4OfIyPAIKBrJ7lGkNDY2KHZgD+5sketJsD74sMD3BTXv5E17vR06dDTRmjuLiJhDIGNYCRY8GzNZLeuPsrVpCebiNagna4K6yGreySI4qR/CjOz9nJOci2d+oIQ0lJeXZ38PlWcj6R+w6lvuDQzY+1Vf89K+E3SwDoosdOjEkD8rZXgYz0VECCqKLAFqCxRYBLYahodHGmD+sfYTaLaerNG7z4mpdKDXbocOHaUhefDssOXUkYMEJqCQ+VnWlI80lGcTCW+lUVSuJ/Zg/y50wg4Ge5cXa2FgxKAfpuHsbJMrIs9KiWLl2S+4d5AAhwP99fWDA9JudGIPBoOLJvnEdWUuIuQZeKRhOLReUbPTUPl6DcYtlTABo/RyMLBct7wrnUA9qfvWKH/vQrqvtK/4cMNwuRlZL6sI0tAASaM0bYoSd6UPM6EE3V8XCNQFdp8TlL21NhCsW/tufCZhIqRK5apO83pErMcJni0qihGcuiUQGEeOnxyEejLwUFKfQNG2EywxXj5Ojq0tf4czDi9NcP2venH8J0rwEL7RlchGvP8IswQ3bmW6pwcC9d/O2r4nVYGiaSeYVP5ob8NeIlEpJOaHGccMQfjCla3rWspxvGG4AWabdSGu6fuXIEh8NoZJktLA8uLexubH+MxucoLS3z9KOpgIkyZpQiIaGIf8jVpjIny/1a9Yyc1CWSGI59VFniNQEwdKmnhCGpwoN0O8+H6Xfw8ILTthH5tZB3P5BkjhUIyvCjFW+SuQGPRjlyqns439eojYWitbBEK+Yg27yDiezgmYVNltGR11MMlHzXl1VsNOUDJpKXIw36dui0w6zQpzTQxzkWDTDDOcJlj+4Y8WfN0Idf8SjWHN3UwzmpYcjidNPFYkmP1Lt8cZpmG+e/N3aTXtRGp0px1Msy+1UM1gyTTf9MThkJ40O5JJJoliqLT4ozwDgZHKFsgZ1tFcFGKKIHMaqsh0UXpvZGkhIz9/npnjdo+TZjcbYszNQs/C6ONkuoisamT8XDqEmdINJsghjKz0QNZUtrAYJEdRM4oWNWMQGU1pqaiR+2FhlE9bGQf2PUMk0F3j5InjEfZoNGPiRhduz3DJ+fmmbsbGJpU/shyaxthLrdODHJGG3+Q6akpiMw7HU4JvRsmlhRRJ0EtTaZ9jeBc5IZsYxyNjZmHUZ8rcGE3x6YRcUvwQFSjmi1g/4Z6kCb7FiCXZGZt/Bvai6ONsMXm8NHp7VGAzt1Ncwux4ouHcOZbvhHjiYNzfQxJkBN/s7YUU30ZCpFgf+3y0rbuB8UtGnzBuI4XvHKFhx4zgm/+EYZ5wYxAjC0skS0LK2SwOJlSV17bt3+mBvgB5ToxGvuoVB8Mw4oWFG0s0zadSN1JL8zC7TFsdzVVE07Bjeg5mIcrMPCWanjLmiEh5xmcgQm4skQl+aeH2m2aGcXQ3zW1OHeOxnR7oC3A0T4mJI6ueDjscjkg4tTCamuHD4SXQciE1BR1IRpqR9lqJJujpRopOTP9IQAAtpBYWbqRmwy2gL3V76Qd4aneyKp1/O6ajOz3QFyH/cweU49NNQNV8mJ9N3V6AAFi60NOztEQxT8Nz83xlWxqcnFiprJ4l57vdF5Z6enpGl1JQkVNLmRZeeSpB0vkfj+70MF+I4/nJY8R88o0ISInDMFaQeH4GAqAnlbrueAoD/+6JlEn7x/mnltEbo3PdkVTqwlIKwomXEvLxkvxMUjLmrwGP7/QwXwhVQYH8QRXYonRyb5F8NwsMZVn2E6YJiYSe8iyaYKFNgf4s8rTZ6mNZ5Q5lWDqZLEqns89Unz45ttPDfDHUTtZJN7LgpQgtMhaljcZId9NTaEPQ7BWSmDTX9KQp6aBRNskWwXFwyN6iLe8DudODfEH2bemEZdPppPzvPwxK0ItMU1V6Y7mLJearmhoj8q1iGpNwDEhJF7rTo4KWuhOFrQPFmE0IBlICQoB8vKl0ohxJznBYEaRONywCipJFW7/OTg/xhSlQUTakQFYkmXSyGwacXyjksmMyst3N6WZYQ5vSW991VUsNW47jz5HCwmAZRyj9nDvGNjscSZRNb32AtiadHFvWgSyFJpKfYJLD5Xlad3p4P4ujL34z5RdAUy3sBvkdvq5E5p/bZITVrpLnF9qfjybL6wbPm5J/Lsd2elC/mK072p+H5rrXguz/95WVf+4OIzJH9x3/5T5Mx/dpubQW4uixY/v37yvE/g1hbMED9u3ff+zYbvPxf3E0l127JzP+HfxLVnJsp9/Fb4zjuhI1xn/t9Dv47aErUfP/bV7R0dHR0dHR0dHR0dHR0dHR0dHR0dHR0dHR0dHR0dHR0dHR0dHR0dHR+eX8L7mpup3V/ZgpAAAAAElFTkSuQmCC"
20,RO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,3,5,5,6,6,6,6,8,9,10,10,11,12,14,18,18,28,32,33,35,42,64,69,76,92,110,128,160,199,223,250,290,328,364,393,413,433,502,585,653,705,756,861,943,1098,1222,1263,1302,1396,1460,1612,1686,1789,1919,1963,2043,2257,2499,2659,2774,3109,3201,3268,3493,3862,4252,4502,4743,4942,5172,5477,5713,6459,6862,7700,8110,8626,9220,9850,10547,11224,11710,11865,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Bandeira_de_Rond%C3%B4nia.svg/1200px-Bandeira_de_Rond%C3%B4nia.svg.png
21,RR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,8,8,10,12,16,16,16,22,26,30,37,42,42,42,49,52,63,75,79,83,113,114,142,164,201,222,244,247,280,297,304,345,401,407,425,452,519,602,668,740,806,869,932,1020,1124,1202,1290,1295,1328,1411,1500,1589,1706,1791,1876,1985,2067,2146,2306,2374,2439,2514,2583,2682,2959,3098,3299,3474,3692,3850,4143,4483,4831,5238,5529,5768,6056,6347,6594,6712,6842,6875,https://upload.wikimedia.org/wikipedia/commons/9/98/Bandeira_de_Roraima.svg
22,RS,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,4,6,6,6,10,19,28,37,60,72,86,98,123,168,195,197,226,241,274,306,334,396,410,418,481,508,555,618,636,640,653,664,700,747,780,802,831,854,889,904,923,994,1061,1096,1166,1228,1286,1368,1466,1529,1619,1666,1711,1815,2050,2129,2447,2493,2542,2576,2917,2917,2997,3597,3695,3735,3735,3750,4973,5473,5918,6336,6470,6559,6785,7048,8234,8234,9242,9332,9332,9919,10398,11010,11583,12037,12135,12250,12802,13619,14168,14384,14627,14661,https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Bandeira_do_Rio_Grande_do_Sul.svg/2000px-Bandeira_do_Rio_Grande_do_Sul.svg.png
23,SC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6,7,7,10,20,21,51,57,68,107,109,122,149,184,194,197,219,235,247,281,334,357,379,417,457,501,693,732,768,777,826,853,884,926,962,975,1025,1063,1091,1115,1170,1209,1235,1337,1476,1995,2085,2104,2346,2346,2519,2623,2917,3082,3205,3372,3429,3529,3733,3828,4332,4562,4678,4776,5175,5413,5499,5610,6458,6607,6696,6875,7016,7372,8000,8530,8778,9037,9498,9660,10034,10532,10846,11285,11565,11565,12192,12594,12953,13165,13296,13360,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Bandeira_de_Santa_Catarina.svg/1200px-Bandeira_de_Santa_Catarina.svg.png
24,SE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,5,6,6,10,10,10,15,16,16,16,16,16,16,19,20,23,25,27,32,32,36,36,39,42,42,44,44,45,46,48,53,71,83,86,92,117,124,144,153,159,197,280,337,447,517,601,730,772,898,998,1214,1438,1588,1771,1800,2032,2268,2494,2868,3135,3343,3566,3967,4277,4734,4922,5131,5314,5448,5735,5912,6156,6462,6805,6999,7233,7555,7989,8200,8577,8972,9290,9727,10126,10615,11056,11534,12866,13968,https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/Bandeira_de_Sergipe.svg/1200px-Bandeira_de_Sergipe.svg.png
25,SP,1,1,1,2,2,2,2,3,6,10,13,16,16,19,30,42,56,65,136,152,164,240,286,396,459,631,745,810,862,1052,1223,1406,1451,1517,2339,2981,3506,4048,4466,4620,4866,5682,6708,7480,8216,8419,8755,8895,9371,11043,11568,12841,13894,14267,14580,15385,15914,16740,17826,20004,20715,21696,24041,26158,28698,30374,31174,31772,32187,34053,37853,39928,41830,44411,45444,46131,47719,51097,54286,58378,61183,62345,63066,65995,69859,73739,76871,80558,82161,83625,86017,89483,95865,101556,107142,109698,111296,118295,123483,129200,134565,140549,143073,144593,150138,156316,162520,167900,172875,178202,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Bandeira_do_estado_de_S%C3%A3o_Paulo.svg/1200px-Bandeira_do_estado_de_S%C3%A3o_Paulo.svg.png
26,TO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,5,7,7,7,8,9,9,10,11,12,12,12,14,17,17,19,23,23,23,23,25,26,26,26,29,31,33,33,34,37,37,37,43,50,58,67,79,116,137,164,191,246,267,303,351,423,494,572,688,747,828,932,1029,1179,1279,1382,1496,1646,1809,1976,2205,2430,2591,2696,2858,3023,3277,3611,3981,4176,4345,4483,4698,4881,5182,5505,5644,5807,6052,6257,6529,6744,6931,6972,https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Bandeira_do_Tocantins.svg/1200px-Bandeira_do_Tocantins.svg.png
