epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population_2019,is_last,is_repeated
26,2020-06-21,58,AM,Urucará,1304302,city,347,2134.59646,5,4,0,0.0115,16256,True,False
26,2020-06-21,57,AM,Urucurituba,1304401,city,339,1469.75938,9,2,0,0.0059,23065,True,False
26,2020-06-21,101,AM,,13,state,63410,1529.94368,508,2657,7,0.0419,4144597,True,False
26,2020-06-21,57,AP,Amapá,1600105,city,257,2821.38544,20,4,0,0.0156,9109,True,False
26,2020-06-21,52,AP,Calçoene,1600204,city,365,3283.25987,24,2,0,0.0055,11117,True,False
26,2020-06-21,48,AP,Cutias,1600212,city,314,5248.20324,0,2,0,0.0064,5983,True,False
26,2020-06-21,51,AP,Ferreira Gomes,1600238,city,273,3508.99743,2,2,0,0.0073,7780,True,False
26,2020-06-21,59,AP,Itaubal,1600253,city,163,2962.02072,0,0,0,0.0,5503,True,False
26,2020-06-21,68,AP,Laranjal do Jari,1600279,city,2484,4927.59373,0,39,0,0.0157,50410,True,False
26,2020-06-21,94,AP,Macapá,1600303,city,9416,1870.75202,38,218,2,0.0232,503327,True,False
26,2020-06-21,69,AP,Mazagão,1600402,city,624,2884.61538,0,6,0,0.0096,21632,True,False
26,2020-06-21,79,AP,Oiapoque,1600501,city,1184,4341.76751,7,10,2,0.0084,27270,True,False
26,2020-06-21,60,AP,Pedra Branca do Amapari,1600154,city,1779,10780.51145,30,5,0,0.0028,16502,True,False
26,2020-06-21,69,AP,Porto Grande,1600535,city,606,2758.18124,65,5,0,0.0083,21971,True,False
26,2020-06-21,48,AP,Pracuúba,1600550,city,113,2207.03125,0,2,0,0.0177,5120,True,False
26,2020-06-21,78,AP,Santana,1600600,city,2863,2359.01915,57,49,2,0.0171,121364,True,False
26,2020-06-21,61,AP,Serra do Navio,1600055,city,363,6725.95887,0,4,0,0.011,5397,True,False
26,2020-06-21,57,AP,Tartarugalzinho,1600709,city,335,1934.73867,23,1,0,0.003,17315,True,False
26,2020-06-21,69,AP,Vitória do Jari,1600808,city,701,4400.22597,0,10,0,0.0143,15931,True,False
26,2020-06-21,94,AP,,16,state,21840,2582.3814,266,359,6,0.0164,845731,True,False
26,2020-06-21,70,BA,Abaíra,2900108,city,5,57.21478,0,0,0,0.0,8739,True,False
26,2020-06-21,38,BA,Abaré,2900207,city,1,4.97859,1,0,0,0.0,20086,True,False
26,2020-06-21,61,BA,Acajutiba,2900306,city,7,46.17719,0,0,0,0.0,15159,True,False
26,2020-06-21,79,BA,Adustina,2900355,city,9,52.8169,1,1,0,0.1111,17040,True,False
26,2020-06-21,62,BA,Água Fria,2900405,city,24,141.42605,0,1,0,0.0417,16970,True,False
26,2020-06-21,67,BA,Aiquara,2900603,city,10,224.92128,0,1,0,0.1,4446,True,False
26,2020-06-21,88,BA,Alagoinhas,2900702,city,276,182.06285,4,3,0,0.0109,151596,True,False
26,2020-06-21,23,BA,Alcobaça,2900801,city,19,84.55719,2,0,0,0.0,22470,True,False
26,2020-06-21,60,BA,Almadina,2900900,city,5,91.50805,0,1,0,0.2,5464,True,False
26,2020-06-21,43,BA,Amargosa,2901007,city,23,61.75989,1,1,0,0.0435,37241,True,False
26,2020-06-21,67,BA,Amélia Rodrigues,2901106,city,47,187.23608,1,0,0,0.0,25102,True,False
26,2020-06-21,34,BA,América Dourada,2901155,city,4,24.85398,4,0,0,0.0,16094,True,False
26,2020-06-21,39,BA,Anagé,2901205,city,4,18.17769,0,1,0,0.25,22005,True,False
26,2020-06-21,20,BA,Andaraí,2901304,city,4,30.43445,2,0,0,0.0,13143,True,False
